A,B,C,D,Result
24,24,96,48,2.00000
24,24,96,56,1.71429
24,24,96,64,1.50000
24,24,96,72,1.33333
24,24,96,84,1.14286
24,24,96,86,1.11628
24,24,96,96,1.00000
24,24,96,100,0.96000
24,24,100,24,4.16667
24,24,100,28,3.57143
24,24,100,32,3.12500
24,24,100,40,2.50000
24,24,100,44,2.27273
24,24,100,48,2.08333
24,24,100,56,1.78571
24,24,100,64,1.56250
24,24,100,72,1.38889
24,24,100,84,1.19048
24,24,100,86,1.16279
24,24,100,96,1.04167
24,24,100,100,1.00000
24,28,24,24,0.85714
24,28,24,28,0.73469
24,28,24,32,0.64286
24,28,24,40,0.51429
24,28,24,44,0.46753
24,28,24,48,0.42857
24,28,24,56,0.36735
24,28,24,64,0.32143
24,28,24,72,0.28571
24,28,24,84,0.24490
24,28,24,86,0.23920
24,28,24,96,0.21429
24,28,24,100,0.20571
24,28,28,24,1.00000
24,28,28,28,0.85714
24,28,28,32,0.75000
24,28,28,40,0.60000
24,28,28,44,0.54545
24,28,28,48,0.50000
24,28,28,56,0.42857
24,28,28,64,0.37500
24,28,28,72,0.33333
24,28,28,84,0.28571
24,28,28,86,0.27907
24,28,28,96,0.25000
24,28,28,100,0.24000
24,28,32,24,1.14286
24,28,32,28,0.97959
24,28,32,32,0.85714
24,28,32,40,0.68571
24,28,32,44,0.62338
24,28,32,48,0.57143
24,28,32,56,0.48980
24,28,32,64,0.42857
24,28,32,72,0.38095
24,28,32,84,0.32653
24,28,32,86,0.31894
24,28,32,96,0.28571
24,28,32,100,0.27429
24,28,40,24,1.42857
24,28,40,28,1.22449
24,28,40,32,1.07143
24,28,40,40,0.85714
24,28,40,44,0.77922
24,28,40,48,0.71429
24,28,40,56,0.61224
24,28,40,64,0.53571
24,28,40,72,0.47619
24,28,40,84,0.40816
24,28,40,86,0.39867
24,28,40,96,0.35714
24,28,40,100,0.34286
24,28,44,24,1.57143
24,28,44,28,1.34694
24,28,44,32,1.17857
24,28,44,40,0.94286
24,28,44,44,0.85714
24,28,44,48,0.78571
24,28,44,56,0.67347
24,28,44,64,0.58929
24,28,44,72,0.52381
24,28,44,84,0.44898
24,28,44,86,0.43854
24,28,44,96,0.39286
24,28,44,100,0.37714
24,28,48,24,1.71429
24,28,48,28,1.46939
24,28,48,32,1.28571
24,28,48,40,1.02857
24,28,48,44,0.93506
24,28,48,48,0.85714
24,28,48,56,0.73469
24,28,48,64,0.64286
24,28,48,72,0.57143
24,28,48,84,0.48980
24,28,48,86,0.47841
24,28,48,96,0.42857
24,28,48,100,0.41143
24,28,56,24,2.00000
24,28,56,28,1.71429
24,28,56,32,1.50000
24,28,56,40,1.20000
24,28,56,44,1.09091
24,28,56,48,1.00000
24,28,56,56,0.85714
24,28,56,64,0.75000
24,28,56,72,0.66667
24,28,56,84,0.57143
24,28,56,86,0.55814
24,28,56,96,0.50000
24,28,56,100,0.48000
24,28,64,24,2.28571
24,28,64,28,1.95918
24,28,64,32,1.71429
24,28,64,40,1.37143
24,28,64,44,1.24675
24,28,64,48,1.14286
24,28,64,56,0.97959
24,28,64,64,0.85714
24,28,64,72,0.76190
24,28,64,84,0.65306
24,28,64,86,0.63787
24,28,64,96,0.57143
24,28,64,100,0.54857
24,28,72,24,2.57143
24,28,72,28,2.20408
24,28,72,32,1.92857
24,28,72,40,1.54286
24,28,72,44,1.40260
24,28,72,48,1.28571
24,28,72,56,1.10204
24,28,72,64,0.96429
24,28,72,72,0.85714
24,28,72,84,0.73469
24,28,72,86,0.71761
24,28,72,96,0.64286
24,28,72,100,0.61714
24,28,84,24,3.00000
24,28,84,28,2.57143
24,28,84,32,2.25000
24,28,84,40,1.80000
24,28,84,44,1.63636
24,28,84,48,1.50000
24,28,84,56,1.28571
24,28,84,64,1.12500
24,28,84,72,1.00000
24,28,84,84,0.85714
24,28,84,86,0.83721
24,28,84,96,0.75000
24,28,84,100,0.72000
24,28,86,24,3.07143
24,28,86,28,2.63265
24,28,86,32,2.30357
24,28,86,40,1.84286
24,28,86,44,1.67532
24,28,86,48,1.53571
24,28,86,56,1.31633
24,28,86,64,1.15179
24,28,86,72,1.02381
24,28,86,84,0.87755
24,28,86,86,0.85714
24,28,86,96,0.76786
24,28,86,100,0.73714
24,28,96,24,3.42857
24,28,96,28,2.93878
24,28,96,32,2.57143
24,28,96,40,2.05714
24,28,96,44,1.87013
24,28,96,48,1.71429
24,28,96,56,1.46939
24,28,96,64,1.28571
24,28,96,72,1.14286
24,28,96,84,0.97959
24,28,96,86,0.95681
24,28,96,96,0.85714
24,28,96,100,0.82286
24,28,100,24,3.57143
24,28,100,28,3.06122
24,28,100,32,2.67857
24,28,100,40,2.14286
24,28,100,44,1.94805
24,28,100,48,1.78571
24,28,100,56,1.53061
24,28,100,64,1.33929
24,28,100,72,1.19048
24,28,100,84,1.02041
24,28,100,86,0.99668
24,28,100,96,0.89286
24,28,100,100,0.85714
24,32,24,24,0.75000
24,32,24,28,0.64286
24,32,24,32,0.56250
24,32,24,40,0.45000
24,32,24,44,0.40909
24,32,24,48,0.37500
24,32,24,56,0.32143
24,32,24,64,0.28125
24,32,24,72,0.25000
24,32,24,84,0.21429
24,32,24,86,0.20930
24,32,24,96,0.18750
24,32,24,100,0.18000
24,32,28,24,0.87500
24,32,28,28,0.75000
24,32,28,32,0.65625
24,32,28,40,0.52500
24,32,28,44,0.47727
24,32,28,48,0.43750
24,32,28,56,0.37500
24,32,28,64,0.32813
24,32,28,72,0.29167
24,32,28,84,0.25000
24,32,28,86,0.24419
24,32,28,96,0.21875
24,32,28,100,0.21000
24,32,32,24,1.00000
24,32,32,28,0.85714
24,32,32,32,0.75000
24,32,32,40,0.60000
24,32,32,44,0.54545
24,32,32,48,0.50000
24,32,32,56,0.42857
24,32,32,64,0.37500
24,32,32,72,0.33333
24,32,32,84,0.28571
24,32,32,86,0.27907
24,32,32,96,0.25000
24,32,32,100,0.24000
24,32,40,24,1.25000
24,32,40,28,1.07143
24,32,40,32,0.93750
24,32,40,40,0.75000
24,32,40,44,0.68182
24,32,40,48,0.62500
24,32,40,56,0.53571
24,32,40,64,0.46875
24,32,40,72,0.41667
24,32,40,84,0.35714
24,32,40,86,0.34884
24,32,40,96,0.31250
24,32,40,100,0.30000
24,32,44,24,1.37500
24,32,44,28,1.17857
24,32,44,32,1.03125
24,32,44,40,0.82500
24,32,44,44,0.75000
24,32,44,48,0.68750
24,32,44,56,0.58929
24,32,44,64,0.51563
24,32,44,72,0.45833
24,32,44,84,0.39286
24,32,44,86,0.38372
24,32,44,96,0.34375
24,32,44,100,0.33000
24,32,48,24,1.50000
24,32,48,28,1.28571
24,32,48,32,1.12500
24,32,48,40,0.90000
24,32,48,44,0.81818
24,32,48,48,0.75000
24,32,48,56,0.64286
24,32,48,64,0.56250
24,32,48,72,0.50000
24,32,48,84,0.42857
24,32,48,86,0.41860
24,32,48,96,0.37500
24,32,48,100,0.36000
24,32,56,24,1.75000
24,32,56,28,1.50000
24,32,56,32,1.31250
24,32,56,40,1.05000
24,32,56,44,0.95455
24,32,56,48,0.87500
24,32,56,56,0.75000
24,32,56,64,0.65625
24,32,56,72,0.58333
24,32,56,84,0.50000
24,32,56,86,0.48837
24,32,56,96,0.43750
24,32,56,100,0.42000
24,32,64,24,2.00000
24,32,64,28,1.71429
24,32,64,32,1.50000
24,32,64,40,1.20000
24,32,64,44,1.09091
24,32,64,48,1.00000
24,32,64,56,0.85714
24,32,64,64,0.75000
24,32,64,72,0.66667
24,32,64,84,0.57143
24,32,64,86,0.55814
24,32,64,96,0.50000
24,32,64,100,0.48000
24,32,72,24,2.25000
24,32,72,28,1.92857
24,32,72,32,1.68750
24,32,72,40,1.35000
24,32,72,44,1.22727
24,32,72,48,1.12500
24,32,72,56,0.96429
24,32,72,64,0.84375
24,32,72,72,0.75000
24,32,72,84,0.64286
24,32,72,86,0.62791
24,32,72,96,0.56250
24,32,72,100,0.54000
24,32,84,24,2.62500
24,32,84,28,2.25000
24,32,84,32,1.96875
24,32,84,40,1.57500
24,32,84,44,1.43182
24,32,84,48,1.31250
24,32,84,56,1.12500
24,32,84,64,0.98438
24,32,84,72,0.87500
24,32,84,84,0.75000
24,32,84,86,0.73256
24,32,84,96,0.65625
24,32,84,100,0.63000
24,32,86,24,2.68750
24,32,86,28,2.30357
24,32,86,32,2.01563
24,32,86,40,1.61250
24,32,86,44,1.46591
24,32,86,48,1.34375
24,32,86,56,1.15179
24,32,86,64,1.00781
24,32,86,72,0.89583
24,32,86,84,0.76786
24,32,86,86,0.75000
24,32,86,96,0.67188
24,32,86,100,0.64500
24,32,96,24,3.00000
24,32,96,28,2.57143
24,32,96,32,2.25000
24,32,96,40,1.80000
24,32,96,44,1.63636
24,32,96,48,1.50000
24,32,96,56,1.28571
24,32,96,64,1.12500
24,32,96,72,1.00000
24,32,96,84,0.85714
24,32,96,86,0.83721
24,32,96,96,0.75000
24,32,96,100,0.72000
24,32,100,24,3.12500
24,32,100,28,2.67857
24,32,100,32,2.34375
24,32,100,40,1.87500
24,32,100,44,1.70455
24,32,100,48,1.56250
24,32,100,56,1.33929
24,32,100,64,1.17188
24,32,100,72,1.04167
24,32,100,84,0.89286
24,32,100,86,0.87209
24,32,100,96,0.78125
24,32,100,100,0.75000
24,40,24,24,0.60000
24,40,24,28,0.51429
24,40,24,32,0.45000
24,40,24,40,0.36000
24,40,24,44,0.32727
24,40,24,48,0.30000
24,40,24,56,0.25714
24,40,24,64,0.22500
24,40,24,72,0.20000
24,40,24,84,0.17143
24,40,24,86,0.16744
24,40,24,96,0.15000
24,40,24,100,0.14400
24,40,28,24,0.70000
24,40,28,28,0.60000
24,40,28,32,0.52500
24,40,28,40,0.42000
24,40,28,44,0.38182
24,40,28,48,0.35000
24,40,28,56,0.30000
24,40,28,64,0.26250
24,40,28,72,0.23333
24,40,28,84,0.20000
24,40,28,86,0.19535
24,40,28,96,0.17500
24,40,28,100,0.16800
24,40,32,24,0.80000
24,40,32,28,0.68571
24,40,32,32,0.60000
24,40,32,40,0.48000
24,40,32,44,0.43636
24,40,32,48,0.40000
24,40,32,56,0.34286
24,40,32,64,0.30000
24,40,32,72,0.26667
24,40,32,84,0.22857
24,40,32,86,0.22326
24,40,32,96,0.20000
24,40,32,100,0.19200
24,40,40,24,1.00000
24,40,40,28,0.85714
24,40,40,32,0.75000
24,40,40,40,0.60000
24,40,40,44,0.54545
24,40,40,48,0.50000
24,40,40,56,0.42857
24,40,40,64,0.37500
24,40,40,72,0.33333
24,40,40,84,0.28571
24,40,40,86,0.27907
24,40,40,96,0.25000
24,40,40,100,0.24000
24,40,44,24,1.10000
24,40,44,28,0.94286
24,40,44,32,0.82500
24,40,44,40,0.66000
24,40,44,44,0.60000
24,40,44,48,0.55000
24,40,44,56,0.47143
24,40,44,64,0.41250
24,40,44,72,0.36667
24,40,44,84,0.31429
24,40,44,86,0.30698
24,40,44,96,0.27500
24,40,44,100,0.26400
24,40,48,24,1.20000
24,40,48,28,1.02857
24,40,48,32,0.90000
24,40,48,40,0.72000
24,40,48,44,0.65455
24,40,48,48,0.60000
24,40,48,56,0.51429
24,40,48,64,0.45000
24,40,48,72,0.40000
24,40,48,84,0.34286
24,40,48,86,0.33488
24,40,48,96,0.30000
24,40,48,100,0.28800
24,40,56,24,1.40000
24,40,56,28,1.20000
24,40,56,32,1.05000
24,40,56,40,0.84000
24,40,56,44,0.76364
24,40,56,48,0.70000
24,40,56,56,0.60000
24,40,56,64,0.52500
24,40,56,72,0.46667
24,40,56,84,0.40000
24,40,56,86,0.39070
24,40,56,96,0.35000
24,40,56,100,0.33600
24,40,64,24,1.60000
24,40,64,28,1.37143
24,40,64,32,1.20000
24,40,64,40,0.96000
24,40,64,44,0.87273
24,40,64,48,0.80000
24,40,64,56,0.68571
24,40,64,64,0.60000
24,40,64,72,0.53333
24,40,64,84,0.45714
24,40,64,86,0.44651
24,40,64,96,0.40000
24,40,64,100,0.38400
24,40,72,24,1.80000
24,40,72,28,1.54286
24,40,72,32,1.35000
24,40,72,40,1.08000
24,40,72,44,0.98182
24,40,72,48,0.90000
24,40,72,56,0.77143
24,40,72,64,0.67500
24,40,72,72,0.60000
24,40,72,84,0.51429
24,40,72,86,0.50233
24,40,72,96,0.45000
24,40,72,100,0.43200
24,40,84,24,2.10000
24,40,84,28,1.80000
24,40,84,32,1.57500
24,40,84,40,1.26000
24,40,84,44,1.14545
24,40,84,48,1.05000
24,40,84,56,0.90000
24,40,84,64,0.78750
24,40,84,72,0.70000
24,40,84,84,0.60000
24,40,84,86,0.58605
24,40,84,96,0.52500
24,40,84,100,0.50400
24,40,86,24,2.15000
24,40,86,28,1.84286
24,40,86,32,1.61250
24,40,86,40,1.29000
24,40,86,44,1.17273
24,40,86,48,1.07500
24,40,86,56,0.92143
24,40,86,64,0.80625
24,40,86,72,0.71667
24,40,86,84,0.61429
24,40,86,86,0.60000
24,40,86,96,0.53750
24,40,86,100,0.51600
24,40,96,24,2.40000
24,40,96,28,2.05714
24,40,96,32,1.80000
24,40,96,40,1.44000
24,40,96,44,1.30909
24,40,96,48,1.20000
24,40,96,56,1.02857
24,40,96,64,0.90000
24,40,96,72,0.80000
24,40,96,84,0.68571
24,40,96,86,0.66977
24,40,96,96,0.60000
24,40,96,100,0.57600
24,40,100,24,2.50000
24,40,100,28,2.14286
24,40,100,32,1.87500
24,40,100,40,1.50000
24,40,100,44,1.36364
24,40,100,48,1.25000
24,40,100,56,1.07143
24,40,100,64,0.93750
24,40,100,72,0.83333
24,40,100,84,0.71429
24,40,100,86,0.69767
24,40,100,96,0.62500
24,40,100,100,0.60000
24,44,24,24,0.54545
24,44,24,28,0.46753
24,44,24,32,0.40909
24,44,24,40,0.32727
24,44,24,44,0.29752
24,44,24,48,0.27273
24,44,24,56,0.23377
24,44,24,64,0.20455
24,44,24,72,0.18182
24,44,24,84,0.15584
24,44,24,86,0.15222
24,44,24,96,0.13636
24,44,24,100,0.13091
24,44,28,24,0.63636
24,44,28,28,0.54545
24,44,28,32,0.47727
24,44,28,40,0.38182
24,44,28,44,0.34711
24,44,28,48,0.31818
24,44,28,56,0.27273
24,44,28,64,0.23864
24,44,28,72,0.21212
24,44,28,84,0.18182
24,44,28,86,0.17759
24,44,28,96,0.15909
24,44,28,100,0.15273
24,44,32,24,0.72727
24,44,32,28,0.62338
24,44,32,32,0.54545
24,44,32,40,0.43636
24,44,32,44,0.39669
24,44,32,48,0.36364
24,44,32,56,0.31169
24,44,32,64,0.27273
24,44,32,72,0.24242
24,44,32,84,0.20779
24,44,32,86,0.20296
24,44,32,96,0.18182
24,44,32,100,0.17455
24,44,40,24,0.90909
24,44,40,28,0.77922
24,44,40,32,0.68182
24,44,40,40,0.54545
24,44,40,44,0.49587
24,44,40,48,0.45455
24,44,40,56,0.38961
24,44,40,64,0.34091
24,44,40,72,0.30303
24,44,40,84,0.25974
24,44,40,86,0.25370
24,44,40,96,0.22727
24,44,40,100,0.21818
24,44,44,24,1.00000
24,44,44,28,0.85714
24,44,44,32,0.75000
24,44,44,40,0.60000
24,44,44,44,0.54545
24,44,44,48,0.50000
24,44,44,56,0.42857
24,44,44,64,0.37500
24,44,44,72,0.33333
24,44,44,84,0.28571
24,44,44,86,0.27907
24,44,44,96,0.25000
24,44,44,100,0.24000
24,44,48,24,1.09091
24,44,48,28,0.93506
24,44,48,32,0.81818
24,44,48,40,0.65455
24,44,48,44,0.59504
24,44,48,48,0.54545
24,44,48,56,0.46753
24,44,48,64,0.40909
24,44,48,72,0.36364
24,44,48,84,0.31169
24,44,48,86,0.30444
24,44,48,96,0.27273
24,44,48,100,0.26182
24,44,56,24,1.27273
24,44,56,28,1.09091
24,44,56,32,0.95455
24,44,56,40,0.76364
24,44,56,44,0.69421
24,44,56,48,0.63636
24,44,56,56,0.54545
24,44,56,64,0.47727
24,44,56,72,0.42424
24,44,56,84,0.36364
24,44,56,86,0.35518
24,44,56,96,0.31818
24,44,56,100,0.30545
24,44,64,24,1.45455
24,44,64,28,1.24675
24,44,64,32,1.09091
24,44,64,40,0.87273
24,44,64,44,0.79339
24,44,64,48,0.72727
24,44,64,56,0.62338
24,44,64,64,0.54545
24,44,64,72,0.48485
24,44,64,84,0.41558
24,44,64,86,0.40592
24,44,64,96,0.36364
24,44,64,100,0.34909
24,44,72,24,1.63636
24,44,72,28,1.40260
24,44,72,32,1.22727
24,44,72,40,0.98182
24,44,72,44,0.89256
24,44,72,48,0.81818
24,44,72,56,0.70130
24,44,72,64,0.61364
24,44,72,72,0.54545
24,44,72,84,0.46753
24,44,72,86,0.45666
24,44,72,96,0.40909
24,44,72,100,0.39273
24,44,84,24,1.90909
24,44,84,28,1.63636
24,44,84,32,1.43182
24,44,84,40,1.14545
24,44,84,44,1.04132
24,44,84,48,0.95455
24,44,84,56,0.81818
24,44,84,64,0.71591
24,44,84,72,0.63636
24,44,84,84,0.54545
24,44,84,86,0.53277
24,44,84,96,0.47727
24,44,84,100,0.45818
24,44,86,24,1.95455
24,44,86,28,1.67532
24,44,86,32,1.46591
24,44,86,40,1.17273
24,44,86,44,1.06612
24,44,86,48,0.97727
24,44,86,56,0.83766
24,44,86,64,0.73295
24,44,86,72,0.65152
24,44,86,84,0.55844
24,44,86,86,0.54545
24,44,86,96,0.48864
24,44,86,100,0.46909
24,44,96,24,2.18182
24,44,96,28,1.87013
24,44,96,32,1.63636
24,44,96,40,1.30909
24,44,96,44,1.19008
24,44,96,48,1.09091
24,44,96,56,0.93506
24,44,96,64,0.81818
24,44,96,72,0.72727
24,44,96,84,0.62338
24,44,96,86,0.60888
24,44,96,96,0.54545
24,44,96,100,0.52364
24,44,100,24,2.27273
24,44,100,28,1.94805
24,44,100,32,1.70455
24,44,100,40,1.36364
24,44,100,44,1.23967
24,44,100,48,1.13636
24,44,100,56,0.97403
24,44,100,64,0.85227
24,44,100,72,0.75758
24,44,100,84,0.64935
24,44,100,86,0.63425
24,44,100,96,0.56818
24,44,100,100,0.54545
24,48,24,24,0.50000
24,48,24,28,0.42857
24,48,24,32,0.37500
24,48,24,40,0.30000
24,48,24,44,0.27273
24,48,24,48,0.25000
24,48,24,56,0.21429
24,48,24,64,0.18750
24,48,24,72,0.16667
24,48,24,84,0.14286
24,48,24,86,0.13953
24,48,24,96,0.12500
24,48,24,100,0.12000
24,48,28,24,0.58333
24,48,28,28,0.50000
24,48,28,32,0.43750
24,48,28,40,0.35000
24,48,28,44,0.31818
24,48,28,48,0.29167
24,48,28,56,0.25000
24,48,28,64,0.21875
24,48,28,72,0.19444
24,48,28,84,0.16667
24,48,28,86,0.16279
24,48,28,96,0.14583
24,48,28,100,0.14000
24,48,32,24,0.66667
24,48,32,28,0.57143
24,48,32,32,0.50000
24,48,32,40,0.40000
24,48,32,44,0.36364
24,48,32,48,0.33333
24,48,32,56,0.28571
24,48,32,64,0.25000
24,48,32,72,0.22222
24,48,32,84,0.19048
24,48,32,86,0.18605
24,48,32,96,0.16667
24,48,32,100,0.16000
24,48,40,24,0.83333
24,48,40,28,0.71429
24,48,40,32,0.62500
24,48,40,40,0.50000
24,48,40,44,0.45455
24,48,40,48,0.41667
24,48,40,56,0.35714
24,48,40,64,0.31250
24,48,40,72,0.27778
24,48,40,84,0.23810
24,48,40,86,0.23256
24,48,40,96,0.20833
24,48,40,100,0.20000
24,48,44,24,0.91667
24,48,44,28,0.78571
24,48,44,32,0.68750
24,48,44,40,0.55000
24,48,44,44,0.50000
24,48,44,48,0.45833
24,48,44,56,0.39286
24,48,44,64,0.34375
24,48,44,72,0.30556
24,48,44,84,0.26190
24,48,44,86,0.25581
24,48,44,96,0.22917
24,48,44,100,0.22000
24,48,48,24,1.00000
24,48,48,28,0.85714
24,48,48,32,0.75000
24,48,48,40,0.60000
24,48,48,44,0.54545
24,48,48,48,0.50000
24,48,48,56,0.42857
24,48,48,64,0.37500
24,48,48,72,0.33333
24,48,48,84,0.28571
24,48,48,86,0.27907
24,48,48,96,0.25000
24,48,48,100,0.24000
24,48,56,24,1.16667
24,48,56,28,1.00000
24,48,56,32,0.87500
24,48,56,40,0.70000
24,48,56,44,0.63636
24,48,56,48,0.58333
24,48,56,56,0.50000
24,48,56,64,0.43750
24,48,56,72,0.38889
24,48,56,84,0.33333
24,48,56,86,0.32558
24,48,56,96,0.29167
24,48,56,100,0.28000
24,48,64,24,1.33333
24,48,64,28,1.14286
24,48,64,32,1.00000
24,48,64,40,0.80000
24,48,64,44,0.72727
24,48,64,48,0.66667
24,48,64,56,0.57143
24,48,64,64,0.50000
24,48,64,72,0.44444
24,48,64,84,0.38095
24,48,64,86,0.37209
24,48,64,96,0.33333
24,48,64,100,0.32000
24,48,72,24,1.50000
24,48,72,28,1.28571
24,48,72,32,1.12500
24,48,72,40,0.90000
24,48,72,44,0.81818
24,48,72,48,0.75000
24,48,72,56,0.64286
24,48,72,64,0.56250
24,48,72,72,0.50000
24,48,72,84,0.42857
24,48,72,86,0.41860
24,48,72,96,0.37500
24,48,72,100,0.36000
24,48,84,24,1.75000
24,48,84,28,1.50000
24,48,84,32,1.31250
24,48,84,40,1.05000
24,48,84,44,0.95455
24,48,84,48,0.87500
24,48,84,56,0.75000
24,48,84,64,0.65625
24,48,84,72,0.58333
24,48,84,84,0.50000
24,48,84,86,0.48837
24,48,84,96,0.43750
24,48,84,100,0.42000
24,48,86,24,1.79167
24,48,86,28,1.53571
24,48,86,32,1.34375
24,48,86,40,1.07500
24,48,86,44,0.97727
24,48,86,48,0.89583
24,48,86,56,0.76786
24,48,86,64,0.67188
24,48,86,72,0.59722
24,48,86,84,0.51190
24,48,86,86,0.50000
24,48,86,96,0.44792
24,48,86,100,0.43000
24,48,96,24,2.00000
24,48,96,28,1.71429
24,48,96,32,1.50000
24,48,96,40,1.20000
24,48,96,44,1.09091
24,48,96,48,1.00000
24,48,96,56,0.85714
24,48,96,64,0.75000
24,48,96,72,0.66667
24,48,96,84,0.57143
24,48,96,86,0.55814
24,48,96,96,0.50000
24,48,96,100,0.48000
24,48,100,24,2.08333
24,48,100,28,1.78571
24,48,100,32,1.56250
24,48,100,40,1.25000
24,48,100,44,1.13636
24,48,100,48,1.04167
24,48,100,56,0.89286
24,48,100,64,0.78125
24,48,100,72,0.69444
24,48,100,84,0.59524
24,48,100,86,0.58140
24,48,100,96,0.52083
24,48,100,100,0.50000
24,56,24,24,0.42857
24,56,24,28,0.36735
24,56,24,32,0.32143
24,56,24,40,0.25714
24,56,24,44,0.23377
24,56,24,48,0.21429
24,56,24,56,0.18367
24,56,24,64,0.16071
24,56,24,72,0.14286
24,56,24,84,0.12245
24,56,24,86,0.11960
24,56,24,96,0.10714
24,56,24,100,0.10286
24,56,28,24,0.50000
24,56,28,28,0.42857
24,56,28,32,0.37500
24,56,28,40,0.30000
24,56,28,44,0.27273
24,56,28,48,0.25000
24,56,28,56,0.21429
24,56,28,64,0.18750
24,56,28,72,0.16667
24,56,28,84,0.14286
24,56,28,86,0.13953
24,56,28,96,0.12500
24,56,28,100,0.12000
24,56,32,24,0.57143
24,56,32,28,0.48980
24,56,32,32,0.42857
24,56,32,40,0.34286
24,56,32,44,0.31169
24,56,32,48,0.28571
24,56,32,56,0.24490
24,56,32,64,0.21429
24,56,32,72,0.19048
24,56,32,84,0.16327
24,56,32,86,0.15947
24,56,32,96,0.14286
24,56,32,100,0.13714
24,56,40,24,0.71429
24,56,40,28,0.61224
24,56,40,32,0.53571
24,56,40,40,0.42857
24,56,40,44,0.38961
24,56,40,48,0.35714
24,56,40,56,0.30612
24,56,40,64,0.26786
24,56,40,72,0.23810
24,56,40,84,0.20408
24,56,40,86,0.19934
24,56,40,96,0.17857
24,56,40,100,0.17143
24,56,44,24,0.78571
24,56,44,28,0.67347
24,56,44,32,0.58929
24,56,44,40,0.47143
24,56,44,44,0.42857
24,56,44,48,0.39286
24,56,44,56,0.33673
24,56,44,64,0.29464
24,56,44,72,0.26190
